dt,dt_iso,timezone,city_name,lat,lon,temp,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1590969600,2020-06-01 00:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,295,295.81,294.179,295.15,1015,,,68,1.5,70,,,,,40,802,Clouds,scattered clouds,03n
1590973200,2020-06-01 01:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,294.15,294.31,294.15,294.179,1014,,,73,2.6,20,,,,,40,802,Clouds,scattered clouds,03n
1590976800,2020-06-01 02:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,293.24,293.38,293.15,293.844,1013,,,77,2.6,30,,,,,40,802,Clouds,scattered clouds,03n
1590980400,2020-06-01 03:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,293.25,294.55,293.15,293.844,1013,,,82,1.5,30,,,,,40,802,Clouds,scattered clouds,03n
1590984000,2020-06-01 04:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,293.24,293.38,293.15,293.844,1015,,,77,2.6,300,,,,,40,802,Clouds,scattered clouds,03n
1590987600,2020-06-01 05:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,293.22,293.39,293.15,293.653,1015,,,82,3.1,40,,,,,40,802,Clouds,scattered clouds,03d
1590991200,2020-06-01 06:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,294.92,295.44,293.653,295.15,1014,,,78,3.1,40,,,,,40,802,Clouds,scattered clouds,03d
1590994800,2020-06-01 07:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,295.81,294.39,293.653,296.15,1014,,,64,4.6,80,,,,,40,802,Clouds,scattered clouds,03d
1590998400,2020-06-01 08:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,294.96,295.34,293.783,295.15,1018,,,68,2.1,320,,,,,75,803,Clouds,broken clouds,04d
1591002000,2020-06-01 09:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,294.94,296.17,293.783,295.15,1017,,,78,2.1,40,,,,,40,802,Clouds,scattered clouds,03d
1591005600,2020-06-01 10:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,296.69,295.23,293.783,297.15,1015,,,64,5.1,100,,,,,40,802,Clouds,scattered clouds,03d
1591009200,2020-06-01 11:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,296.69,295.2,293.8,297.15,1015,,,60,4.6,90,,,,,40,802,Clouds,scattered clouds,03d
1591012800,2020-06-01 12:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,296.61,295.09,293.8,297.15,1015,,,60,4.6,90,,,,,40,802,Clouds,scattered clouds,03d
1591016400,2020-06-01 13:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,297.56,295.73,293.8,298.15,1014,,,57,5.1,60,,,,,20,801,Clouds,few clouds,02d
1591020000,2020-06-01 14:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,297.53,295.27,293.614,298.15,1013,,,57,5.7,70,,,,,20,801,Clouds,few clouds,02d
1591023600,2020-06-01 15:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,297.47,294.43,293.614,298.15,1013,,,53,6.2,80,,,,,20,801,Clouds,few clouds,02d
1591027200,2020-06-01 16:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,295.8,292.9,293.614,296.15,1012,,,64,6.7,70,,,,,20,801,Clouds,few clouds,02d
1591030800,2020-06-01 17:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,295.84,292.58,293.905,296.15,1012,,,56,6.2,60,,,,,20,801,Clouds,few clouds,02d
1591034400,2020-06-01 18:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,294.96,292.55,293.905,295.15,1015,,,60,5.1,20,0.5,,,,40,500,Rain,light rain,10d
1591038000,2020-06-01 19:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,292.39,290.47,292.15,293.905,1017,,,77,5.1,350,0.5,,,,75,200,Thunderstorm,thunderstorm with light rain,11n
1591041600,2020-06-01 20:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,291.55,288.29,291.15,294.061,1012,,,88,7.7,60,,,,,40,802,Clouds,scattered clouds,03n
1591045200,2020-06-01 21:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,292.44,292.31,292.15,294.061,1013,,,82,3.1,60,,,,,40,802,Clouds,scattered clouds,03n
1591048800,2020-06-01 22:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,291.55,289.69,291.15,294.061,1015,,,93,6.2,330,,,,,40,802,Clouds,scattered clouds,03n
1591052400,2020-06-01 23:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,292.38,291.51,292.15,293.829,1015,,,77,3.6,320,,,,,40,802,Clouds,scattered clouds,03n
1591056000,2020-06-02 00:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,291.55,291.79,291.15,293.829,1014,,,82,2.1,290,,,,,40,802,Clouds,scattered clouds,03n
1591059600,2020-06-02 01:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,291.52,292.59,291.15,293.829,1014,,,88,1.5,330,,,,,0,800,Clear,sky is clear,01n
1591063200,2020-06-02 02:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,291.5,292.14,291.15,293.749,1014,,,88,2.1,320,,,,,0,800,Clear,sky is clear,01n
1591066800,2020-06-02 03:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,290.69,292.13,290.15,293.749,1014,,,93,1,330,,,,,40,802,Clouds,scattered clouds,03n
1591070400,2020-06-02 04:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,290.64,290.94,290.15,293.749,1014,,,93,2.6,320,,,,,40,802,Clouds,scattered clouds,03n
1591074000,2020-06-02 05:00:00 +0000 UTC,3600,Sfax,34.739822,10.76002,290.63,291.7,290.15,293.652,1014,,,93,1.5,310,,,,,40,802,Clouds,scattered clouds,03d
